Council,State,Adults - Obesity - ASR,Adults - Obesity - Number,Adults - Overweight/Obese - ASR,Adults- Overweight/Obese - Number,Youth - Obesity - ASR,Youth - Obesity - number,Youth - Overweight/Obesity - ASR,Youth - Overweight/Obesity - number,"ASR - Age standardised rate, Youth 2-17 years, Adults 18+"
Greater Shepparton,VIC,34.4,"15,664",68.8,"30,998",8,"1,219",30.5,"4,722",
Hepburn,VIC,33.3,"4,052",69.3,"8,201",7.3,213,30.4,875,
Hindmarsh,VIC,33,"1,450",69.7,"3,000",6.2,68,29.3,335,
Hobsons Bay,VIC,24.9,"17,759",63.6,"45,532",7.3,"1,222",29.3,"4,797",
Horsham,VIC,32.2,"4,760",66.7,"9,765",6.3,275,28.4,"1,253",
Hume,VIC,33.3,"45,804",71.1,"97,983",10.5,"4,632",32.7,"14,463",
Indigo,VIC,32.7,"3,976",69.4,"8,207",6,205,25.8,906,
Kingston,VIC,24.8,"30,034",63.3,"76,636",6.4,"1,739",28.4,"7,770",
Knox,VIC,24.5,"29,791",62.9,"75,764",6.2,"1,814",28.3,"8,368",
Latrobe,VIC,33.8,"18,529",68.9,"37,386",8.7,"1,395",29.7,"4,775",
Loddon,VIC,34.8,"2,133",70.3,"4,198",7.7,106,31.4,444,
Macedon Ranges,VIC,29.6,"10,341",67.9,"23,177",6.4,654,26.6,"2,767",
Manningham,VIC,19.1,"18,449",57.4,"54,993",5,"1,036",26.3,"5,598",
Mansfield,VIC,33.9,"2,122",69.1,"4,195",6.6,115,25.1,436,
Maribyrnong,VIC,21.9,"13,506",60,"38,073",8.3,"1,059",31.2,"3,836",
Maroondah,VIC,26.3,"22,417",64.6,"55,039",6.4,"1,371",28.9,"6,188",
Melbourne,VIC,15.3,"13,932",48.8,"46,716",7.6,594,27.7,"2,066",
Melton,VIC,35.6,"32,248",74.3,"67,725",9.8,"3,135",30.4,"9,651",
Mildura,VIC,35.6,"13,782",70,"26,828",9.7,"1,218",30.6,"3,939",
Mitchell,VIC,33.6,"9,538",70.3,"19,635",8.6,749,28.3,"2,497",
Moira,VIC,34.6,"7,695",70.2,"15,362",7.8,496,30,"1,923",
Monash,VIC,19.7,"28,286",57.1,"82,567",6.1,"1,873",28,"8,660",
Moonee Valley,VIC,24.4,"22,478",63,"58,570",7.3,"1,498",28.4,"5,869",
Moorabool,VIC,35.1,"8,379",73,"17,159",7.9,572,28,"2,025",
Moreland,VIC,24.2,"30,048",62.4,"79,534",7.9,"2,060",30.8,"7,932",
Mornington Peninsula ,VIC,27.4,"34,178",65.5,"80,685",6.7,"1,949",27,"8,020",
Mount Alexander,VIC,32.1,"4,756",67.8,"9,755",7.2,236,28.2,951,
Moyne,VIC,34.3,"4,068",71.8,"8,365",6.3,250,28.5,"1,151",
Murrindindi,VIC,32.7,"3,602",69.8,"7,546",7.7,215,28,798,
Nillumbik,VIC,22.8,"11,192",62.1,"29,716",5.1,688,26.6,"3,722",
Northern Grampians,VIC,33.5,"2,995",68.8,"6,036",8.1,184,29.2,695,
Port Phillip,VIC,17.4,"14,737",54.4,"47,427",5.5,594,26.6,"2,805",
Pyrenees,VIC,35.6,"2,002",71.8,"3,920",8.1,104,29.4,387,
Queenscliffe,VIC,26.5,681,63,"1,588",5.5,43,23.9,187,
South Gippsland,VIC,31.2,"6,745",67.4,"14,260",6.6,404,27.3,"1,717",
Southern Grampians,VIC,29.3,"3,543",65.3,"7,753",5.5,189,27.2,961,
Stonnington,VIC,15.5,"13,055",53.3,"46,063",4.8,642,25,"3,346",
Strathbogie,VIC,35.1,"2,854",70.7,"5,644",7,120,27.7,483,
Surf Coast,VIC,27.3,"5,932",63.6,"13,584",6,438,25.2,"1,869",
Swan Hill,VIC,33,"4,907",68,"10,031",8.2,396,31.2,"1,528",
Towong,VIC,32.9,"1,548",69.2,"3,164",5.9,70,27.4,338,
Wangaratta,VIC,32.6,"6,810",67.7,"13,918",6.5,381,27.3,"1,642",
Warrnambool,VIC,32.5,"7,951",68.1,"16,532",7.3,549,27.3,"2,113",
Wellington,VIC,34.8,"10,973",70,"21,678",7.7,713,28.3,"2,672",
West Wimmera,VIC,33,"1,063",69.7,"2,199",6.2,50,29.3,246,
Whitehorse,VIC,19.5,"24,759",57.3,"73,029",5.9,"1,698",27.9,"8,071",
Whittlesea,VIC,30.8,"43,270",69.4,"98,173",9.2,"3,825",29.9,"12,319",
Wodonga,VIC,34.8,"9,255",70,"18,545",7.7,725,27,"2,551",
Wyndham,VIC,31.5,"44,346",70.3,"100,879",9.5,"4,640",31.9,"15,178",
Yarra,VIC,16.3,"11,186",53.7,"38,365",6,550,28.3,"2,524",
Yarra Ranges,VIC,27.1,"31,775",65.6,"75,717",6.7,"2,037",27.7,"8,604",
Yarriambiack,VIC,33,"1,773",69.7,"3,668",6.2,84,29.3,410,
Albany,WA,27.7,"8,272",61,"17,969",5.8,544,23,"2,204",
Armadale,WA,28.7,"16,441",65.8,"38,008",7.7,"1,350",26.2,"4,525",
Ashburton,WA,,,,,,,,,
Augusta-Margaret River,WA,25.9,"2,885",59.7,"6,575",4.9,170,21.3,749,
Bassendean,WA,23.7,"2,948",61,"7,641",5.7,161,24.6,673,
Bayswater,WA,21.3,"11,643",57.8,"31,963",5.5,630,25.2,"2,782",
Belmont,WA,23.2,"7,255",59.2,"18,944",6.7,428,29.3,"1,824",
Beverley,WA,33.8,467,67.7,916,6.7,27,25.2,104,
Boddington,WA,30.1,555,64.7,"1,170",5.5,26,24.4,115,
Boyup Brook,WA,31.2,464,65.7,949,5.6,23,24,102,
Bridgetown-Greenbushes,WA,31.2,"1,263",65.7,"2,583",5.6,63,24,279,
Brookton,WA,,,,,,,,,
Broome,WA,30.1,"3,104",62.2,"6,443",7.7,310,25.8,"1,054",
Broomehill-Tambellup,WA,28.9,262,64.8,581,4.6,14,26.3,80,
Bruce Rock,WA,,,,,,,,,
Bunbury,WA,29,"7,856",61.2,"16,470",6.4,476,23.8,"1,772",
Busselton,WA,27.8,"8,116",61.3,"17,646",5.4,520,21.7,"2,138",
Cambridge,WA,14.4,"3,091",50.1,"10,775",3.8,213,20.6,"1,173",
Canning,WA,19.9,"14,602",55.4,"41,095",5.6,958,27.8,"4,755",
Capel,WA,29.9,"3,753",63.4,"7,868",6.3,360,23.4,"1,393",
Carnamah,WA,,,,,,,,,
Carnarvon,WA,27.9,"1,256",61.5,"2,738",7.2,102,27.4,391,
Chapman Valley,WA,30.7,313,65.1,650,6.2,20,23.1,77,
Chittering,WA,31.8,"1,382",65.9,"2,787",5.9,70,22.7,280,
Claremont,WA,14,"1,121",49.5,"3,956",3.7,66,20,366,
Cockburn,WA,25.5,"20,194",62.2,"49,510",6,"1,326",25.7,"5,546",
Collie,WA,34.3,"2,528",68.9,"4,975",7,159,27.3,638,
Coolgardie,WA,,,,,,,,,
Coorow,WA,31.6,287,66.4,588,6.1,14,23.9,58,
Corrigin,WA,30.2,285,64.1,591,5,12,25.9,60,
Cottesloe,WA,14.3,948,49.8,"3,295",3.7,53,19.7,288,
Cranbrook,WA,28.9,248,64.8,550,4.6,13,26.3,76,
Cuballing,WA,,,,,,,,,
Cue,WA,,,,,,,,,
Cunderdin,WA,31.8,322,66.2,660,5.8,16,25,72,
Dalwallinu,WA,31.1,339,65.6,700,5.5,17,24.1,74,
Dandaragan,WA,31.8,995,65.9,"2,006",5.9,51,22.7,201,
Dardanup,WA,30.7,"3,339",64.7,"6,976",6,229,24,927,
Denmark,WA,28.7,"1,423",62.8,"3,038",5.3,69,22.9,312,
Derby-West Kimberley,WA,,,,,,,,,
Donnybrook-Balingup,WA,31.2,"1,556",65.7,"3,183",5.6,78,24,344,
Dowerin,WA,,,,,,,,,
Dumbleyung,WA,,,,,,,,,
Dundas,WA,,,,,,,,,
East Fremantle,WA,17.4,"1,118",53.8,3447,4.3,52,21.6,256,
East Pilbara,WA,,,,,,,,,
Esperance,WA,26.8,"2,589",59.4,5662,5.9,188,24,786,
Exmouth,WA,,,,,,,,,
Fremantle,WA,19.4,"4,753",55.7,"13,590",4.7,237,22.2,"1,099",
Grealdton-Greenough,WA,30.5,"9,279",63.3,"19,015",6.6,734,24.2,"2,751",
Gingin,WA,31.8,"1,463",65.9,"2,949",5.9,74,22.7,296,
Gnowangerup,WA,28.9,291,64.8,647,4.6,16,26.3,89,
Goomalling,WA,31.1,264,65.6,546,5.5,13,24.1,58,
Gosnells,WA,25.7,"23,032",62.1,"56,114",7,"1,882",27.2,"7,224",
Halls Creek,WA,,,,,,,,,
Harvey,WA,30.8,"6,504",64.6,"13,486",6.1,469,24.7,"1,947",
Irwin,WA,31.6,962,66.4,"1,974",6.1,48,23.9,194,
Jerramungup,WA,28.9,241,64.8,535,4.6,13,26.3,74,
Joondalup,WA,22.4,"29,183",59,"75,941",4.6,"1,564",24.6,"8,400",
Kalamunda,WA,25.3,"11,677",62,"28,450",5.4,683,23.8,"3,014",
Kalgoorlie/Boulder,WA,,,,,,,,,
Katanning,WA,33,"1,121",66.2,"2,208",7,87,31.3,403,
Kellerberrin,WA,31.8,290,66.2,595,5.8,15,25,65,
Kent,WA,,,,,,,,,
Kojonup,WA,28.9,454,64.8,"1,008",4.6,24,26.3,139,
Kondinin,WA,30.1,260,64.7,549,5.5,12,24.4,54,
Koorda,WA,,,,,,,,,
Kulin,WA,,,,,,,,,
Kwinana,WA,30.7,"7,700",68.2,"17,364",8.5,720,27.2,"2,246",
Lake Grace,WA,30.1,340,64.7,717,5.5,16,24.4,71,
Laverton,WA,,,,,,,,,
Leonora,WA,,,,,,,,,
Mandurah,WA,28.4,"18,722",65.1,"42,499",6.7,"1,114",23.6,"3,926",
Manjimup,WA,28.5,"2,255",62.5,"4,826",5.6,135,24.1,615,
Meekatharra,WA,,,,,,,,,
Melville,WA,17.6,"14,775",54.3,"45,389",4.2,793,22.3,"4,272",
Menzies,WA,,,,,,,,,
Merredin,WA,31.8,809,66.2,"1,660",5.8,41,25,180,
Mingenew,WA,,,,,,,,,
Moora,WA,31.1,664,65.6,"1,370",5.5,33,24.1,145,
Morawa,WA,,,,,,,,,
Mosman Park,WA,14.3,"1,072",49.8,"3,724",3.7,60,19.7,325,
Mount Magnet,WA,,,,,,,,,
Mount Marshall,WA,,,,,,,,,
Mukinbudin ,WA,,,,,,,,,
Mullewa,WA,,,,,,,,,
Mundaring,WA,23.7,"7,275",60.5,"18,215",5.6,437,24,"1,912",
Murchison,WA,,,,,,,,,
Murray,WA,28.7,"3,879",65.9,"8,794",6.8,251,22.2,829,
Nannup,WA,28.5,310,62.5,663,5.6,19,24.1,84,
Narembeen,WA,,,,,,,,,
Narrogin (S),WA,,,,,,,,,
Narrogin (T),WA,30.2,948,61.7,"1,919",6.6,78,23.9,280,
Nedlands,WA,12.8,"2,191",48.5,"8,246",3.7,164,20.7,938,
Ngaanyatjarraku,WA,,,,,,,,,
Northam,WA,33.8,"3,148",67.7,"6,181",6.7,180,25.2,704,
Northampton,WA,31.6,861,66.4,"1,767",6.1,43,23.9,174,
nungarin,WA,,,,,,,,,
Peppermint Grove,WA,14.3,191,49.8,662,3.7,11,19.7,58,
Perenjori,WA,,,,,,,,,
Perth,WA,15.5,"2,547",47,"8,075",4.7,61,23.7,289,
Pingelly,WA,30.2,311,64.1,646,5,13,25.9,65,
Plantagenet,WA,28.7,"1,337",62.8,"2,855",5.3,65,22.9,294,
Port Headland,WA,26.2,"2,591",62.2,6256,7.1,254,23.1,813,
Quairading,WA,31.8,257,66.2,527,5.8,13,25,57,
Ravensthorpe,WA,,,,,,,,,
Rockingham,WA,28.3,"25,880",65.4,"60,030",7.1,"2,115",25.9,"7,638",
Roebourne,WA,26.9,"4,093",62.4,"9,640",6.7,382,23.2,"1,308",
Sandstone ,WA,,,,,,,,,
Serpentine-Jarrahdale,WA,26.2,"4,351",64,"10,596",6.1,372,23.4,"1,415",
Shark Bay,WA,,,,,,,,,
South Perth,WA,17,"6,025",52.4,"18,696",4.6,309,22,"1,441",
Stirling,WA,20.6,"35,797",56.9,"100,218",5.4,"2,079",24.9,"9,320",
Subiaco,WA,15.1,"2,318",49.9,"7,733",4.3,143,21.6,708,
Swan,WA,27.1,"26,059",64.2,"61,866",6.7,"1,993",25.5,"7,576",
Tammin,WA,,,,,,,,,
Three Springs,WA,,,,,,,,,
Toodyay,WA,31.1,"1,175",65.6,"2,426",5.5,58,24.1,256,
Trayning,WA,,,,,,,,,
Upper Gascoyne,WA,,,,,,,,,
Victoria Park,WA,20.2,"5,885",55.9,"16,794",5.6,293,26.7,"1,319",
Victoria Plains,WA,,,,,,,,,
Vincent,WA,17.2,"4,827",51.9,"15,052",4.7,229,22.4,"1,056",
Wagin,WA,30.1,461,64.7,973,5.5,22,24.4,96,
Wandering,WA,,,,,,,,,
Wanneroo,WA,29.1,"38,077",65.2,"86,030",7.2,"3,291",28,"12,582",
Waroona,WA,33,"1,061",66.8,"2,111",6.5,65,24.8,255,
West Arthur,WA,,,,,,,,,
Westonia,WA,,,,,,,,,
Wickepin,WA,,,,,,,,,
Williams,WA,,,,,,,,,
Wiluna,WA,,,,,,,,,
Wongan-Ballidu,WA,31.1,384,65.6,793,5.5,19,24.1,84,
Woodanilling,WA,,,,,,,,,
Wyalkatchem,WA,,,,,,,,,
Wyndham-East Kimberley ,WA,,,,,,,,,
Yalgoo,WA,,,,,,,,,
Yilgarn,WA,31.8,403,66.2,827,5.8,20,25,90,
York ,WA,33.8,"1,012",67.7,"1,987",6.7,58,25.2,226,
