LGA,State,Adults - Obesity - ASR,Adults - Obesity - Number,Adults - Overweight/Obese - ASR,Adults- Overweight/Obese - Number,Youth - Obesity - ASR,Youth - Obesity - number,Youth - Overweight/Obesity - ASR,Youth - Overweight/Obesity - number,"ASR - Age standardised rate, Youth 2-17 years, Adults 18+"
Clarence Valley,NSW,38.7,"16,030",72.2,"29,232",8.3,866,23.1,"2,477",
Cobar,NSW,42.2,"1,549",76.8,"2,801",8.5,97,25.6,285,
Coffs Harbour,NSW,34.5,"19,688",67.9,"38,118",7.5,"1,162",22.1,"3,503",
Conargo,NSW,37.7,505,72.4,950,9.2,29,25.1,80,
Coolamon,NSW,40.7,"1,262",75.6,"2,299",8,79,24.3,245,
Cooma-Monaro,NSW,32.8,"2,571",66.7,"5,144",6.8,147,24.5,531,
Coonamble,NSW,42.2,"1,324",76.8,"2,394",8.5,83,25.6,244,
Cootamundra,NSW,40.5,"2,374",74.4,"4,287",8.1,135,25.6,435,
Corowa Shire,NSW,36.7,"3,454",70.9,"6,566",6.9,148,23.7,520,
Corwa,NSW,36.2,"3,551",69,"6,684",8.3,220,24.9,681,
Deniliquin,NSW,33.5,"1,947",67.6,"3,894",7.9,119,25.9,389,
Dubbo,NSW,39.7,"11,816",72.4,"21,453",8.2,828,23.9,"2,429",
Dungog,NSW,38.3,"2,851",72.6,"5,305",7.1,135,23.1,450,
Eurobodalla,NSW,31.3,"10,128",64.5,"20,360",7.5,529,21.7,"1,569",
Fairfield,NSW,25.9,"39,617",60.7,"92,825",11.1,"4,814",30.1,"13,137",
Forbes,NSW,42.5,"3,098",77,"5,570",8.2,178,25.1,543,
Gilgandra,NSW,40.9,"1,410",74.4,"2,521",8.5,86,25.3,260,
Glen Innes Severn,NSW,40.5,"2,985",73.2,"5,266",8.6,149,25.4,447,
Gloucester,NSW,38.7,"1,771",72.5,"3,219",7.6,75,22.2,225,
Gosford,NSW,29.4,"40,079",66,"89,518",7.1,"2,402",22.6,"7,758",
Goulburn Mulwaree,NSW,37.6,"8,326",71.3,"15,607",8,497,23.3,"1,469",
Great Lakes,NSW,35.9,"11,454",69.3,"21,648",8,494,22.5,"1,429",
Greater Hume Shire,NSW,34.4,"2,735",69,"5,405",6.3,140,22.2,513,
Greater Taree,NSW,37.8,"14,999",70.7,"27,520",8.4,865,23.6,"2,487",
Griffith,NSW,38.1,"7,204",71.5,"13,484",8.1,497,25.7,"1,585",
Gundagai,NSW,40.5,"1,186",74.4,"2,141",8.1,67,25.6,217,
Gunnedah,NSW,39.4,"3,743",72.4,"6,837",9.1,274,25.2,763,
Guyra,NSW,37.3,"1,335",72.5,"2,550",7.1,71,22.9,230,
Gwydir,NSW,40.4,"1,660",74.8,"3,016",8.5,88,26.1,267,
Harden,NSW,36.4,"1,046",70.2,"1,984",7.5,67,23.4,211,
Hawkesbury,NSW,30.5,"14,930",66.9,"33,597",7.4,"1,103",23.4,"3,545",
Hay,NSW,39.2,935,73.9,"1,734",9.8,64,28,185,
Holroyd,NSW,29.5,"24,222",65.4,"54,887",9.2,"2,140",26.4,"5,929",
Hornsby,NSW,18.9,"24,853",55.3,"72,337",5.3,"1,844",21.8,"7,694",
Hunters Hill,NSW,19.3,"2,093",56.3,"6,088",5,142,19.8,557,
Hurtsville,NSW,21.3,"14,121",57.4,"38,437",6.7,"1,064",23.7,"3,733",
Inverell,NSW,38.5,"4,905",71.6,"9,043",9.1,361,24.8,992,
Jerilderie,NSW,37.6,472,71.9,890,7.1,22,24,75,
Junee,NSW,40.5,"1,904",74.4,"3,438",8.1,108,25.5,349,
Kempsey,NSW,38.7,"8,941",72.3,"16,300",9.6,630,25.2,"1,689",
Kiama,NSW,27.3,"4,779",61.9,"10,637",5.6,239,19.8,859,
Kogarah,NSW,21.6,"10,329",57.7,"27,715",6,662,22.2,"2,468",
Ku-ring-gai,NSW,14.2,"13,206",50.4,"46,490",4.4,"1,197",19,"5,438",
Kyogle,NSW,40.1,"3,108",74.3,"5,618",9,184,25.7,534,
Lachlan,NSW,42.5,"2,188",77.1,"3,933",8.2,126,25.1,383,
Lake Macquaire,NSW,30.7,"48,687",64.4,"101,314",7.5,"3,120",23.6,"9,956",
Lane Cove,NSW,14.9,"4,116",50.6,"14,177",4.8,313,20.5,"1,322",
Leeton,NSW,40.1,"3,313",74.1,"6,046",8.8,235,25.2,685,
Leichhardt,NSW,17.7,"8,137",53.9,"24,960",5.2,483,20.4,"1,779",
Lismore,NSW,34.4,"11,900",67.8,"23,079",7.6,717,23.1,"2,247",
Lithgow,NSW,38.2,"6,414",72.1,"11,897",8.8,382,25.4,"1,128",
Liverpool,NSW,30.2,"43,613",66.8,"96,927",10.4,"4,997",27.8,"13,399",
Liverpool Plains,NSW,41.5,"2,557",75.3,"4,573",8.4,135,25.4,416,
Lockhart,NSW,40.7,914,75.8,"1,669",7.9,58,24.1,180,
Maitland,NSW,37,"20,664",70.4,"39,234",8,"1,424",23.5,"4,210",
Manly,NSW,17.1,"5,901",51.8,"18,154",4.6,393,19.7,"1,636",
Marrickville,NSW,20.7,"13,388",57.5,"38,101",6.3,735,23.8,"2,658",
Mid-Western Regional,NSW,36.6,"6,774",70.8,"12,927",8,430,22.8,"1,246",
Moree Plains,NSW,40.8,"4,159",73,"7,425",10.3,345,26.8,894,
Mosman,NSW,15.2,"3,631",50.3,"12,018",4.1,237,17.9,"1,070",
Murray,NSW,37.7,"2,281",72.4,"4,289",9.2,130,25.1,363,
Murrumbidgee,NSW,42.2,735,77.3,"1,330",8,46,25.1,148,
Muswellbrook,NSW,38.8,"4,602",72.7,"8,613",8.8,361,24.5,"1,014",
Nambucca,NSW,36.6,"6,015",69.9,"11,261",8.9,337,24.1,927,
Narrabri,NSW,41.1,"4,103",75.4,"7,460",9.4,308,26.5,873,
Narrandera,NSW,40,"1,759",73.8,"3,212",8.9,126,25.2,365,
Narromine,NSW,40.9,"2,127",74.4,"3,804",8.5,130,25.3,393,
Newcastle,NSW,28.8,"34,891",62.5,"76,084",7.4,"2,188",23.7,"7,019",
North Sydney,NSW,14.7,"8,669",49.9,"30,205",4.4,336,18.7,"1,365",
Oberon,NSW,40.5,"1,672",75.1,"3,038",7.6,84,25,280,
Orange,NSW,37.8,"11,260",71.1,"21,116",8.2,781,24.4,"2,326",
Palerang,NSW,32.2,"3,852",66.7,"7,840",5.8,214,21.2,799,
Parkes,NSW,38.7,"4,371",72.1,"8,080",9,336,25.1,951,
Parramatta,NSW,25.5,"35,326",61.6,"86,848",8.6,"3,216",26.1,"9,547",
Penrith,NSW,32.8,"47,178",69.8,"100,629",8.6,"3,727",26,"11,150",
Pittwater,NSW,21.5,"10,950",57.8,"28,992",4.7,620,19.7,"2,626",
Port Macquarie-Hastings,NSW,34.2,"21,885",67.6,"42,573",7.3,"1,138",21.7,"3,464",
Port Stephens,NSW,34.3,"18,989",67.8,"36,917",7.9,"1,176",22.5,"3,418",
Queanbeyan,NSW,32.5,"10,001",66.7,"20,504",6.6,557,23.4,"1,985",
Randwick,NSW,21.7,"23,438",56.8,"62,562",7.8,"1,736",23.7,"5,158",
Richmond Valley,NSW,39.6,"7,141",72.5,"12,935",9.4,485,25,"1,304",
Rockdale,NSW,23.6,"19,657",59.7,"50,656",7.2,"1,397",24.2,"4,611",
Ryde,NSW,19.2,"17,061",54.5,"48,996",5.9,"1,138",22.4,"4,293",
Shellharbour,NSW,32.8,"17,118",66,"34,155",8.6,"1,378",24.2,"3,953",
Shoalhaven,NSW,35.1,"28,471",68.7,"54,803",8.5,"1,660",23.4,"4,661",
Singleton,NSW,36.6,"6,248",69.4,"11,861",7.2,407,23,"1,311",
Snowy River,NSW,36.7,"2,225",72,"4,256",7.2,119,22.8,388,
Strathfield,NSW,18.2,"5,373",54.3,"16,502",7.3,467,25,"1,597",
Sutherland Shire,NSW,25.7,"45,049",62.8,"109,995",5.7,"2,519",22.2,"9,903",
Sydney,NSW,17,"27,244",51.6,"86,542",6.4,892,23.2,"2,993",
Tamworth Regional,NSW,39.3,"17,854",72.3,"32,556",8.4,"1,177",24.2,"3,441",
Temora,NSW,40.5,"1,870",74.4,"3,377",8.1,106,25.6,343,
Tenterfield,NSW,40.5,"2,348",73.2,"4,142",8.6,118,25.4,351,
The Hills Shire,NSW,23.4,"33,823",60.1,"86,158",5.9,"2,483",22.2,"9,556",
Tumbarumba,NSW,39.1,"1,092",73.9,"2,024",7.8,58,25.1,193,
Tumut Shire,NSW,39.3,"3,434",73.6,"6,365",8.4,217,24.8,648,
Tweed,NSW,34.2,"25,267",67.8,"49,555",7.9,"1,458",23.2,"4,343",
Upper Hunter Shire,NSW,38.6,"4,172",72.6,"7,803",7.7,261,23.3,804,
Upper Lachlan Shire,NSW,37.3,"2,396",72,"4,511",6.6,113,21.9,384,
Uralla,NSW,37.5,"1,905",71.9,"3,567",7.2,108,22.6,346,
Urana,NSW,37.2,359,71.3,678,7.3,17,24,58,
Wagga Wagga,NSW,37.8,"16,991",71.1,"31,935",7.9,"1,112",23.6,"3,340",
Wakool,NSW,37.9,"1,294",72.6,"2,428",9.3,75,25.6,212,
Walcha,NSW,37,919,72.9,"1,778",6.2,41,22.1,147,
Walgett,NSW,,,,,,,,,
Warren,NSW,42.1,899,76.6,"1,624",8.5,56,25.5,166,
Warringah,NSW,22.8,"27,061",59,"70,250",5.3,"1,709",21.5,"6,903",
Warrumbungle Shire,NSW,40.3,"3,067",73.8,"5,536",8.4,189,24.8,566,
Waverley,NSW,16.8,"9,252",52.2,"29,631",5.1,560,20.1,"2,135",
Weddin,NSW,40,"1,180",74.7,"2,173",7.9,66,25.1,214,
Wellington,NSW,43.9,"2,855",76.8,"4,917",10.2,213,26.2,557,
Wentworth,NSW,39.2,"2,091",73.9,"3,878",9.8,143,28,414,
Willoughby,NSW,14.4,"8,261",49.9,"28,832",4.8,708,21.1,"3,087",
Wingecarribee,NSW,31.3,"11,992",65.3,"24,558",6.5,655,22.1,"2,266",
Wollondilly,NSW,31,"11,199",68.2,"24,384",7.2,806,23.3,"2,641",
Wollongong,NSW,29.3,"46,246",62.5,"98,558",7.7,"3,221",24,"10,133",
Woollahra,NSW,15.1,"7,022",50.8,"24,056",4.5,400,19,"1,651",
Wyoong,NSW,34.1,"41,808",70.4,"85,949",8.7,"2,939",23.9,"8,095",
Yass Valley,NSW,32.7,"4,140",67.4,"8,370",6.1,239,21.9,874,
Young,NSW,36.7,"3,574",70.3,"6,740",7.7,231,23.6,718,
